timestamp,count,exp-conf,exp-grid_tiles,exp-local_inference
2021-12-10 19:10:04,0,0.0,64,
2021-12-10 19:20:03,0,0.0,64,
2021-12-10 19:30:04,0,0.0,64,
2021-12-10 19:40:03,0,0.0,64,
2021-12-10 19:50:04,0,0.0,64,
2021-12-10 20:00:03,0,0.0,64,
2021-12-10 20:10:04,0,0.0,64,
2021-12-10 20:20:03,0,0.0,64,
2021-12-10 20:30:04,0,0.0,64,
2021-12-10 20:40:04,0,0.0,64,
2021-12-10 20:50:04,0,0.0,64,
2021-12-10 21:00:04,0,0.0,64,
2021-12-10 21:10:03,0,0.0,64,
2021-12-10 21:20:04,0,0.0,64,
2021-12-10 21:30:03,0,0.0,64,
2021-12-10 21:40:03,0,0.0,64,
2021-12-10 21:50:04,0,0.0,64,
2021-12-10 22:00:04,0,0.0,64,
2021-12-10 22:10:03,0,0.0,64,
2021-12-10 22:20:04,0,0.0,64,
2021-12-10 22:30:03,0,0.0,64,
2021-12-10 22:40:04,0,0.0,64,
2021-12-10 22:50:03,0,0.0,64,
2021-12-10 23:00:03,0,0.0,64,
2021-12-10 23:10:04,0,0.0,64,
2021-12-10 23:20:03,0,0.0,64,
2021-12-10 23:30:04,0,0.0,64,
2021-12-10 23:40:03,0,0.0,64,
2021-12-10 23:50:04,0,0.0,64,
2021-12-11 00:00:03,0,0.0,64,
2021-12-11 00:10:03,0,0.0,64,
2021-12-11 00:20:04,0,0.0,64,
2021-12-11 00:30:03,0,0.0,64,
2021-12-11 00:40:04,0,0.0,64,
2021-12-11 00:50:03,0,0.298190176486969,64,True
2021-12-11 01:00:04,0,0.0,64,
2021-12-11 01:10:04,0,0.0,64,
2021-12-11 01:20:03,0,0.0,64,
2021-12-11 01:30:04,0,0.0,64,
2021-12-11 01:40:04,0,0.33511683344841003,64,True
2021-12-11 01:50:04,0,0.31947848200798035,64,True
2021-12-11 02:00:03,0,0.0,64,
2021-12-11 02:10:03,0,0.0,64,
2021-12-11 02:20:03,0,0.3186933100223541,64,True
2021-12-11 02:30:04,0,0.0,64,
2021-12-11 02:40:04,0,0.2793911397457123,64,True
2021-12-11 02:50:03,0,0.0,64,
2021-12-11 03:00:03,0,0.0,64,
2021-12-11 03:10:03,0,0.0,64,
2021-12-11 03:20:04,0,0.0,64,
2021-12-11 03:30:03,0,0.0,64,
2021-12-11 03:40:03,0,0.0,64,
2021-12-11 03:50:04,0,0.0,64,
2021-12-11 04:00:03,0,0.0,64,
2021-12-11 04:10:03,0,0.0,64,
2021-12-11 04:20:03,0,0.0,64,
2021-12-11 04:30:04,0,0.0,64,
2021-12-11 04:40:03,0,0.0,64,
2021-12-11 04:50:03,0,0.0,64,
2021-12-11 05:00:04,0,0.0,64,
2021-12-11 05:10:04,0,0.0,64,
2021-12-11 05:20:03,0,0.0,64,
2021-12-11 05:30:03,0,0.0,64,
2021-12-11 05:40:04,0,0.0,64,
2021-12-11 05:50:04,0,0.0,64,
2021-12-11 06:00:03,0,0.35385236144065857,64,True
2021-12-11 06:10:04,0,0.0,64,
2021-12-11 06:20:03,0,0.0,64,
2021-12-11 06:30:17,0,0.0,64,
2021-12-11 06:40:04,0,0.3797079622745514,64,True
2021-12-11 06:50:03,0,0.25991880893707275,64,True
2021-12-11 07:00:04,0,0.0,64,
2021-12-11 07:10:03,0,0.0,64,
2021-12-11 07:20:03,0,0.0,64,
2021-12-11 07:30:03,0,0.0,64,
2021-12-11 07:40:03,0,0.0,64,
2021-12-11 07:50:04,0,0.0,64,
2021-12-11 08:00:03,0,0.0,64,
2021-12-11 08:10:04,0,0.8295722007751465,64,True
2021-12-11 08:20:03,0,0.2809675335884094,64,True
2021-12-11 08:30:04,0,0.8041810393333435,64,True
2021-12-11 08:40:03,0,0.3597506284713745,64,True
2021-12-11 08:50:04,0,0.7249040603637695,64,True
2021-12-11 09:00:03,0,0.0,64,
2021-12-11 09:10:04,0,0.0,64,
2021-12-11 09:20:03,0,0.0,64,
2021-12-11 09:30:04,0,0.0,64,
2021-12-11 09:40:03,0,0.0,64,
2021-12-11 09:50:03,0,0.0,64,
2021-12-11 10:00:04,0,0.0,64,
2021-12-11 10:10:03,0,0.0,64,
2021-12-11 10:20:04,0,0.0,64,
2021-12-11 10:30:04,0,0.0,64,
2021-12-11 10:40:03,0,0.0,64,
2021-12-11 10:50:04,0,0.0,64,
2021-12-11 11:00:04,0,0.0,64,
2021-12-11 11:10:03,0,0.0,64,
2021-12-11 11:20:04,0,0.0,64,
2021-12-11 11:30:03,0,0.0,64,
2021-12-11 11:40:03,2,0.7057509422302246,64,True
2021-12-11 11:50:04,0,0.2519085705280304,64,True
2021-12-11 12:00:03,4,0.310761034488678,64,True
2021-12-11 12:10:03,2,0.259062260389328,64,True
