timestamp,p1x,p1y,p2x,p2y,conf,class
2021-12-11 00:50:03,0.637715220451355,0.04379191994667053,0.9937752485275269,0.8368933796882629,0.298190176486969,umbrella
2021-12-11 01:40:04,0.6384866237640381,0.045958708971738815,0.9938154220581055,0.8383517861366272,0.33511683344841003,umbrella
2021-12-11 01:50:04,0.6391527056694031,0.04358389228582382,0.9933107495307922,0.8319619297981262,0.31947848200798035,umbrella
2021-12-11 02:20:03,0.6386989951133728,0.04502330347895622,0.9949141144752502,0.8572403192520142,0.3186933100223541,umbrella
2021-12-11 02:40:04,0.6376499533653259,0.04512706398963928,0.994928777217865,0.8457282185554504,0.2793911397457123,umbrella
2021-12-11 06:00:03,0.6382604837417603,0.04590865224599838,0.9936216473579407,0.8033620119094849,0.35385236144065857,umbrella
2021-12-11 06:40:04,0.6384571194648743,0.04792001470923424,0.9934536218643188,0.7958940267562866,0.3797079622745514,umbrella
2021-12-11 06:50:03,0.6377437710762024,0.047760941088199615,0.9943040609359741,0.8337723612785339,0.25991880893707275,umbrella
2021-12-11 08:10:04,0.5702413320541382,0.31963294744491577,0.6613746285438538,0.3864802122116089,0.8295722007751465,car
2021-12-11 08:20:03,0.569540798664093,0.3188050091266632,0.6619583368301392,0.3877399265766144,0.8059137463569641,car
2021-12-11 08:20:03,0.6366127729415894,0.026153098791837692,0.9946073889732361,0.781054675579071,0.2809675335884094,umbrella
2021-12-11 08:30:04,0.5701844096183777,0.31845390796661377,0.6621065139770508,0.3870066702365875,0.8041810393333435,car
2021-12-11 08:40:03,0.5712080001831055,0.31888115406036377,0.6623698472976685,0.387480765581131,0.6910147070884705,car
2021-12-11 08:40:03,0.6380811929702759,0.02811753936111927,0.9932109713554382,0.7665018439292908,0.3597506284713745,umbrella
2021-12-11 08:50:04,0.5710028409957886,0.31898021697998047,0.6621103882789612,0.3860738277435303,0.7249040603637695,car
2021-12-11 11:40:03,0.5405172109603882,0.30091753602027893,0.6277945041656494,0.3676965534687042,0.8115293383598328,car
2021-12-11 11:40:03,0.3183375298976898,0.30015242099761963,0.3293854296207428,0.3600640594959259,0.774477481842041,person
2021-12-11 11:40:03,0.2867351174354553,0.3213156461715698,0.29600438475608826,0.3574294149875641,0.7057509422302246,person
2021-12-11 11:50:04,0.5501278042793274,0.29937177896499634,0.654485285282135,0.37906259298324585,0.8419176340103149,car
2021-12-11 11:50:04,0.5332944989204407,0.30408450961112976,0.5870481133460999,0.3639865517616272,0.2519085705280304,car
2021-12-11 12:00:03,0.5473780035972595,0.3134273588657379,0.6579095721244812,0.3946632444858551,0.7232934236526489,car
2021-12-11 12:00:03,0.3924291431903839,0.3507246971130371,0.4032308757305145,0.40371212363243103,0.6955650448799133,person
2021-12-11 12:00:03,0.3665851652622223,0.3272579610347748,0.3828262388706207,0.4083155393600464,0.6758025288581848,person
2021-12-11 12:00:03,0.42627957463264465,0.3379691243171692,0.4432205557823181,0.41509655117988586,0.660395085811615,person
2021-12-11 12:00:03,0.44480258226394653,0.3541801869869232,0.46254175901412964,0.40894871950149536,0.5000520944595337,person
2021-12-11 12:00:03,0.5290732979774475,0.29897576570510864,0.5913320183753967,0.3585399091243744,0.310761034488678,car
2021-12-11 12:10:03,0.5499519109725952,0.3081408143043518,0.6605222821235657,0.4067702293395996,0.7077387571334839,car
2021-12-11 12:10:03,0.3684992790222168,0.3785484731197357,0.385376513004303,0.4359278678894043,0.707263171672821,person
2021-12-11 12:10:03,0.46154797077178955,0.34812283515930176,0.47775566577911377,0.41523632407188416,0.6686607003211975,person
2021-12-11 12:10:03,0.6764832139015198,0.2840334177017212,0.751354992389679,0.3340819478034973,0.5651167631149292,car
2021-12-11 12:10:03,0.49644550681114197,0.3344697952270508,0.5183097124099731,0.4164334833621979,0.42908740043640137,person
2021-12-11 12:10:03,0.660487949848175,0.3188740909099579,0.679792046546936,0.39306148886680603,0.36879852414131165,person
2021-12-11 12:10:03,0.6749445796012878,0.3510005474090576,0.7049770355224609,0.39137089252471924,0.3281826674938202,bicycle
2021-12-11 12:10:03,0.5056455731391907,0.3407282829284668,0.5243159532546997,0.415580689907074,0.29164236783981323,person
2021-12-11 12:10:03,0.44253504276275635,0.3604448139667511,0.4577312767505646,0.41306543350219727,0.2691000699996948,person
2021-12-11 12:10:03,0.6622994542121887,0.32639431953430176,0.6801488399505615,0.3947997987270355,0.259062260389328,bicycle
2021-12-11 12:20:03,0.312642365694046,0.3424642086029053,0.32980671525001526,0.42038559913635254,0.8251355290412903,person
2021-12-11 12:20:03,0.5500066876411438,0.31200122833251953,0.6672985553741455,0.4036608636379242,0.7065944671630859,car
2021-12-11 12:20:03,0.4737640619277954,0.3811323344707489,0.4860401451587677,0.43763089179992676,0.6681142449378967,person
2021-12-11 12:20:03,0.3432675302028656,0.3038386106491089,0.35840991139411926,0.35543954372406006,0.4935532510280609,person
2021-12-11 12:20:03,0.3826845586299896,0.3627875745296478,0.39916548132896423,0.41806989908218384,0.48337218165397644,person
2021-12-11 12:20:03,0.5260098576545715,0.2868514657020569,0.6059112548828125,0.3484635651111603,0.43007877469062805,car
2021-12-11 12:20:03,0.03056667558848858,0.29739612340927124,0.04151793569326401,0.3281361162662506,0.4016883373260498,person
2021-12-11 12:20:03,0.5262266993522644,0.369477242231369,0.5439135432243347,0.4387470781803131,0.3751019239425659,person
2021-12-11 12:20:03,0.5458229184150696,0.36532941460609436,0.5652475953102112,0.44050759077072144,0.36222338676452637,person
